schid,SCHLURBN,GRDRANGE,FLAGGK,FLAGG1,FLAGG2,FLAGG3,GKENRMNT,GKCHAPT1,GKFRLNCH,GKBUSED,GKNATVAM,GKASIAN,GKBLACK,GKHSPANC,GKWHITE,GKOTHRAC,G1ENRMNT,G1AVGDAT,G1AVGDMB,G1CHAPT1,G1FRLNCH,G1BUSED,G1NATVAM,G1ASIAN,G1BLACK,G1HSPANC,G1WHITE,G1OTHRAC,G2ENRMNT,G2AVGDAT,G2AVGDMB,G2CHAPT1,G2FRLNCH,G2BUSED,G2NATVAM,G2ASIAN,G2BLACK,G2HSPANC,G2WHITE,G2OTHRAC,G3ENRMNT,G3AVGDAT,G3AVGDMB,G3CHAPT1,G3FRLNCH,G3BUSED,G3NATVAM,G3ASIAN,G3BLACK,G3HSPANC,G3WHITE,G3OTHRAC
112038.0,URBAN,K-5,Yes,Yes,Yes,Yes,330.0,YES,67.0,70.0,,,35.0,,65.0,0.0,306.0,251.0,264.0,YES,75.0,62.0,0.0,1.0,37.0,0.0,62.0,0.0,330.0,320.0,335.0,YES,75.0,62.0,0.0,1.0,32.0,0.0,67.0,0.0,405.0,390.0,400.0,YES,65.0,57.0,0.0,2.0,32.0,0.0,66.0,0.0
123056.0,RURAL,K-8,Yes,Yes,Yes,Yes,620.0,YES,35.0,99.0,,,,,99.0,0.0,612.0,582.0,615.0,YES,22.0,98.0,0.0,0.0,2.0,0.0,98.0,0.0,582.0,564.0,576.0,YES,36.0,96.0,0.0,0.0,1.0,0.0,99.0,0.0,593.0,567.0,591.0,YES,30.0,98.0,0.0,0.0,1.0,0.0,99.0,0.0
128068.0,RURAL,K-8,Yes,No,No,No,540.0,YES,40.0,68.0,,,1.0,,99.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128076.0,SUBURBAN,K-8,Yes,Yes,Yes,Yes,564.0,NO,10.0,72.0,,,1.0,,98.0,0.0,610.0,575.0,606.0,NO,18.0,93.0,0.0,1.0,1.0,0.0,98.0,0.0,640.0,615.0,639.0,NO,22.0,99.0,0.0,0.0,11.0,0.0,89.0,0.0,621.0,600.0,504.0,NO,23.0,90.0,0.0,0.0,3.0,0.0,97.0,0.0
128079.0,RURAL,K-5,Yes,Yes,Yes,Yes,471.0,YES,34.0,95.0,1.0,,5.0,1.0,93.0,0.0,496.0,466.0,493.0,YES,34.0,93.0,0.0,0.0,6.0,1.0,93.0,0.0,530.0,496.0,527.0,YES,41.0,85.0,1.0,1.0,5.0,0.0,93.0,0.0,507.0,473.0,504.0,YES,32.0,72.0,0.0,0.0,5.0,0.0,95.0,0.0
130085.0,SUBURBAN,K-5,Yes,Yes,Yes,Yes,521.0,YES,23.0,32.0,,,4.0,,96.0,0.0,475.0,460.0,478.0,YES,21.0,27.0,0.0,1.0,3.0,0.0,96.0,0.0,525.0,507.0,522.0,YES,20.0,24.0,0.0,0.0,2.0,0.0,98.0,0.0,534.0,518.0,530.0,YES,20.0,19.0,0.0,0.0,2.0,0.0,97.0,1.0
159171.0,RURAL,K-5,Yes,Yes,Yes,Yes,645.0,YES,57.0,96.0,,0.0,25.0,0.0,75.0,0.0,626.0,594.0,625.0,NO,54.0,94.0,0.0,0.0,27.0,0.0,73.0,0.0,605.0,599.0,609.0,YES,43.0,95.0,0.0,0.0,25.0,0.0,75.0,0.0,614.0,595.0,611.0,YES,44.0,94.0,0.0,0.0,24.0,1.0,75.0,0.0
161176.0,RURAL,K-3,Yes,Yes,Yes,Yes,444.0,YES,30.0,90.0,,1.0,1.0,,98.0,0.0,484.0,425.0,450.0,YES,50.0,75.0,0.0,1.0,0.0,0.0,99.0,0.0,430.0,414.0,426.0,YES,40.0,85.0,0.0,0.0,1.0,0.0,99.0,0.0,406.0,375.0,394.0,YES,40.0,87.0,2.0,1.0,0.0,0.0,96.0,0.0
161183.0,RURAL,K-3,Yes,Yes,Yes,Yes,662.0,YES,52.0,97.0,,1.0,2.0,,97.0,0.0,654.0,620.0,658.0,YES,60.0,90.0,0.0,1.0,3.0,0.0,97.0,0.0,556.0,537.0,550.0,YES,66.0,97.0,0.0,1.0,4.0,0.0,95.0,0.0,551.0,523.0,549.0,YES,55.0,69.0,0.0,0.0,5.0,1.0,94.0,0.0
162184.0,RURAL,K-8,Yes,Yes,Yes,Yes,650.0,YES,64.0,95.0,,,,,99.0,0.0,650.0,625.0,650.0,YES,64.0,99.0,0.0,0.0,1.0,0.0,99.0,0.0,640.0,,630.0,YES,64.0,99.0,1.0,0.0,1.0,0.0,98.0,0.0,624.0,600.0,624.0,YES,62.0,98.0,0.0,0.0,1.0,0.0,99.0,0.0
